2019 Healthiest Communities Rank,Community,"2019 Healthiest Communities Overall Score (out of 100)",Community Vitality,Equity,Economy,Education,Environment,Food & Nutrition,Population Health,Housing,Public Safety,Infrastructure
60,"Olmsted County, Minnesota",77.5,60.6,41.6,75.0,63.4,82.9,48.7,94.6,62.7,69.6,82.2
61,"Union County, South Dakota",77.1,71.3,63.1,69.6,52.7,57.3,42.2,79.7,89.6,79.6,72.3
62,"Powhatan County, Virginia",77.0,76.9,75.1,69.5,58.9,64.1,49.7,75.7,67.7,76.1,58.6
63,"Wasatch County, Utah",76.9,70.7,69.5,76.5,40.2,77.8,57.4,79.8,54.1,78.9,72.8
64,"Saratoga County, New York",76.8,53.3,69.7,75.9,68.5,65.2,52.3,73.6,63.8,76.3,79.5
65,"Madison County, Montana",76.7,84.2,75.3,51.1,33.2,76.3,92.4,88.0,48.3,67.7,58.1
66,"Somerset County, New Jersey",76.7,59.4,38.0,87.9,82.3,44.4,61.7,87.8,55.8,80.7,70.7
67,"Gallatin County, Montana",76.6,68.8,53.7,70.8,55.8,70.7,70.0,89.9,55.5,59.1,78.3
68,"La Plata County, Colorado",76.6,64.1,54.1,69.3,50.5,83.6,74.0,88.1,57.5,63.0,72.1
69,"Chittenden County, Vermont",76.5,50.1,54.9,69.8,72.0,68.2,62.0,91.7,55.9,73.6,77.0
70,"O'Brien County, Iowa",76.5,58.7,64.0,55.6,54.7,79.9,62.4,83.0,82.7,69.9,70.1
71,"Montgomery County, Maryland",76.5,50.7,35.9,88.7,74.4,69.7,69.5,93.0,47.0,72.6,69.4
72,"Bristol County, Rhode Island",76.4,53.3,61.8,73.3,75.6,66.3,52.6,77.5,49.5,82.1,86.8
73,"Williamson County, Texas",76.2,64.1,52.2,92.5,69.1,64.1,40.9,76.1,59.9,70.6,79.1
74,"Dakota County, Minnesota",76.2,60.8,43.0,85.8,66.2,78.7,43.6,75.9,60.6,71.3,91.7
75,"Warren County, Ohio",76.1,66.5,61.9,83.8,70.4,52.4,32.5,71.5,70.9,70.0,89.5
76,"Oconee County, Georgia",76.1,86.5,52.7,78.2,70.9,54.8,55.7,77.3,60.2,59.2,66.5
77,"New Kent County, Virginia",76.1,83.8,79.1,68.5,52.0,64.7,52.1,73.1,60.3,69.6,63.7
78,"Addison County, Vermont",75.9,60.6,64.5,63.1,68.2,62.4,75.9,85.0,56.0,69.3,64.3
79,"Middlesex County, Connecticut",75.9,58.0,53.2,78.9,76.2,69.3,59.1,80.4,53.7,72.5,67.8
80,"St. Charles County, Missouri",75.8,66.4,73.0,84.5,69.2,57.2,38.1,62.2,67.6,67.8,81.7
81,"Mitchell County, Iowa",75.7,66.8,74.5,56.5,35.6,72.1,65.1,81.5,70.0,72.0,82.9
82,"Davis County, Utah",75.6,48.9,50.9,81.1,62.1,71.9,47.5,84.0,57.7,70.8,100.0
83,"Middlesex County, Massachusetts",75.4,50.3,36.2,88.3,77.8,57.7,63.3,81.2,59.9,83.0,71.0
84,"Warren County, Iowa",75.3,70.3,70.4,70.4,65.0,65.4,37.1,75.9,67.0,67.7,76.3
85,"Hamilton County, Nebraska",75.3,76.9,63.8,64.9,52.3,69.4,39.8,80.3,79.6,68.9,70.3
86,"Washington County, Rhode Island",75.1,54.4,66.5,70.2,70.0,63.3,62.9,78.0,48.8,82.2,72.5
87,"Forsyth County, Georgia",75.1,82.1,49.6,89.9,72.6,59.2,41.6,71.6,63.7,62.5,63.0
88,"Litchfield County, Connecticut",75.0,59.2,65.8,69.9,71.9,72.1,72.6,75.2,50.3,69.1,58.9
89,"Lewis and Clark County, Montana",75.0,68.5,71.2,58.5,44.6,80.5,65.4,75.5,67.7,61.6,78.0
90,"Teton County, Idaho",74.9,70.9,68.9,73.1,29.6,81.9,69.6,76.0,55.5,76.3,67.6
91,"Lyon County, Iowa",74.8,70.8,61.1,60.8,40.6,73.6,58.5,72.4,91.2,72.6,71.2
92,"Livingston County, Michigan",74.7,68.0,81.2,77.6,59.5,59.4,53.6,75.5,60.1,64.7,54.7
93,"Rockwall County, Texas",74.7,77.3,56.7,89.2,67.1,53.2,52.1,69.0,57.3,73.4,60.8
94,"Cheyenne County, Nebraska",74.5,56.4,72.3,69.4,50.2,67.8,52.8,78.9,80.2,61.8,73.5
95,"Poquoson city, Virginia",74.5,68.7,69.5,72.8,78.7,52.5,37.7,78.8,48.7,78.9,70.8
96,"Nassau County, New York",74.4,57.7,38.5,87.0,81.7,51.5,70.2,77.8,39.9,100.0,57.9
97,"Kendall County, Texas",74.4,80.3,49.4,80.4,60.1,64.3,62.2,74.9,57.8,60.9,67.0
98,"Oldham County, Kentucky",74.4,75.9,67.0,75.7,65.9,59.4,43.8,66.0,71.9,62.0,70.7
99,"Burleigh County, North Dakota",74.2,68.7,57.7,77.4,55.5,64.9,37.5,80.5,72.9,61.0,82.4
100,"Hancock County, Iowa",74.0,61.5,77.6,53.7,50.2,73.0,63.7,63.6,81.7,68.4,78.0
101,"Barnstable County, Massachusetts",73.9,70.3,62.7,63.3,64.0,59.7,66.6,77.5,53.7,68.8,73.4
102,"Marion County, Iowa",73.9,62.3,68.7,61.1,58.9,70.2,53.2,76.7,75.2,70.7,65.1
103,"Roanoke County, Virginia",73.9,60.3,71.9,62.8,72.2,63.2,45.7,71.9,64.8,72.3,77.4
104,"Alexandria city, Virginia",73.9,49.2,27.8,89.0,67.3,66.0,73.1,80.5,52.2,85.6,74.7
105,"Mercer County, North Dakota",73.8,72.5,68.4,62.7,32.4,61.1,53.1,77.4,97.0,61.2,74.5
106,"Dickinson County, Iowa",73.8,72.1,52.4,54.8,62.8,65.1,52.5,84.2,78.6,67.9,70.6
107,"Traill County, North Dakota",73.7,58.2,54.4,56.7,53.5,77.4,43.8,77.2,85.6,83.5,82.3
108,"Washington County, Vermont",73.7,62.4,72.0,60.1,60.3,64.7,73.0,81.3,52.7,68.9,62.1
109,"DuPage County, Illinois",73.6,51.3,37.5,88.5,76.2,53.3,58.0,84.3,48.5,73.9,85.9
110,"Montgomery County, Pennsylvania",73.5,58.9,44.7,86.2,85.6,36.5,59.5,79.8,57.6,63.8,76.6
111,"Cedar County, Iowa",73.5,61.8,67.6,60.4,49.8,68.3,51.7,72.5,82.1,80.7,70.0
112,"Park County, Colorado",73.4,83.5,81.5,72.2,34.0,90.2,55.1,73.9,42.1,88.3,33.0
113,"Juneau City and Borough, Alaska",73.4,62.3,62.4,61.7,61.3,71.2,60.1,85.8,49.1,69.3,75.4
114,"Crook County, Wyoming",73.3,77.7,63.9,57.5,52.7,81.3,69.3,76.7,73.0,56.7,45.5
115,"Medina County, Ohio",73.3,62.8,78.2,71.7,65.6,66.8,42.8,69.1,61.4,70.8,65.4
116,"Carroll County, Iowa",73.3,60.7,61.9,57.7,60.0,71.7,55.8,81.9,71.5,59.3,79.7
117,"Chester County, Pennsylvania",73.3,63.1,38.4,87.5,81.9,50.9,55.7,77.5,57.2,66.8,71.6
118,"Albemarle County, Virginia",73.3,63.1,29.8,74.2,68.3,67.6,62.8,90.8,57.0,63.8,79.1
119,"Putnam County, New York",73.2,54.7,63.6,79.6,77.7,70.3,58.2,71.0,41.6,93.0,45.8
120,"Door County, Wisconsin",73.2,78.0,59.9,53.8,44.3,78.0,60.8,82.1,60.5,74.7,69.7
121,"Fauquier County, Virginia",73.2,73.2,59.9,76.9,62.3,61.5,60.5,72.5,54.4,84.1,46.5
122,"Arapahoe County, Colorado",73.2,54.2,37.5,86.2,53.7,75.2,65.0,76.5,53.8,71.1,90.6
123,"Leelanau County, Michigan",73.1,83.2,53.9,55.2,38.6,73.4,77.9,79.6,61.0,71.1,67.0
124,"Blaine County, Idaho",73.1,65.5,40.8,66.4,52.9,81.7,74.7,82.6,51.1,74.7,73.0
125,"Mono County, California",73.1,35.9,58.0,61.7,55.4,77.0,67.7,84.6,60.5,75.9,92.6
126,"Grand Isle County, Vermont",73.0,67.2,65.2,59.9,71.6,57.2,81.0,70.7,55.3,75.9,51.1
127,"Cavalier County, North Dakota",73.0,69.9,53.3,61.2,36.7,79.1,52.3,74.7,100.0,64.6,70.3
128,"Delaware County, Iowa",72.9,57.6,63.3,57.7,53.8,68.5,47.7,83.6,76.7,73.2,77.9
129,"Kendall County, Illinois",72.9,69.7,59.7,80.8,66.5,63.2,44.6,70.7,49.7,82.8,64.9
130,"Piatt County, Illinois",72.8,65.5,64.2,58.9,49.3,65.0,55.1,72.0,71.0,84.4,78.1
131,"Poweshiek County, Iowa",72.8,53.5,63.5,58.2,58.4,77.8,54.1,83.8,73.6,63.8,71.2
132,"Merrimack County, New Hampshire",72.8,62.7,63.2,68.0,63.5,68.6,66.7,72.1,52.4,74.8,64.3
133,"Houston County, Minnesota",72.8,66.7,73.8,51.6,38.2,75.2,57.7,86.1,55.6,77.2,78.3
134,"Shelby County, Iowa",72.7,63.9,60.6,55.4,48.0,72.6,54.5,83.9,75.3,76.2,68.6
135,"Green County, Wisconsin",72.7,57.9,62.9,62.1,51.2,74.5,53.3,78.7,66.6,74.4,79.3
136,"Phillips County, Colorado",72.7,62.7,62.9,53.0,42.0,75.3,72.9,85.6,55.9,71.1,80.0
137,"Gunnison County, Colorado",72.5,64.2,36.2,55.7,60.6,89.8,80.1,85.7,26.6,73.0,95.1
138,"Stillwater County, Montana",72.5,78.7,61.9,57.9,38.0,73.6,75.7,68.4,81.9,60.7,59.6
139,"Boone County, Iowa",72.4,62.0,69.3,63.5,60.4,73.2,48.2,70.2,65.6,68.8,75.6
140,"Wright County, Minnesota",72.4,69.3,70.5,77.0,58.4,69.9,45.1,75.2,51.0,72.2,57.8
141,"Sarpy County, Nebraska",72.3,57.4,53.7,82.7,66.3,61.4,29.5,75.6,60.8,71.7,94.1
142,"Platte County, Missouri",72.3,67.8,57.8,84.9,68.0,59.2,33.6,66.0,62.8,67.3,81.8
143,"Boone County, Indiana",72.2,77.3,42.7,82.9,69.3,56.9,46.3,72.3,63.5,60.5,74.0
144,"Grand Traverse County, Michigan",72.1,69.6,66.5,58.3,55.2,73.6,54.2,76.3,63.4,62.8,72.8
145,"Stark County, North Dakota",72.1,64.1,58.4,77.5,48.7,65.4,39.3,75.0,81.8,52.0,87.2
146,"Saunders County, Nebraska",72.1,66.5,72.2,67.6,43.3,50.8,49.4,78.4,72.7,78.9,69.0
147,"Bergen County, New Jersey",72.0,46.6,32.6,87.7,85.6,54.1,73.6,76.5,44.6,90.5,58.7
148,"Park County, Wyoming",72.0,68.8,50.8,56.5,60.7,84.2,58.2,68.4,80.1,57.0,73.4
149,"Seward County, Nebraska",71.9,59.4,68.7,63.7,51.8,49.2,47.3,82.7,68.6,83.3,75.8
150,"Clay County, Iowa",71.9,55.7,68.5,54.2,64.0,71.3,46.5,82.9,73.5,62.0,72.7
151,"Plymouth County, Iowa",71.9,62.8,68.8,62.1,49.3,65.2,53.1,69.8,82.2,75.0,65.5
152,"Ada County, Idaho",71.8,59.3,58.2,71.8,50.5,61.3,52.1,79.9,59.6,75.9,83.7
153,"Monroe County, Illinois",71.8,70.1,75.3,72.0,56.8,54.9,40.2,69.7,63.7,63.6,78.9
154,"Denton County, Texas",71.8,60.0,39.4,91.7,70.6,66.8,51.7,70.3,56.8,65.8,74.2
155,"St. Croix County, Wisconsin",71.8,62.9,69.2,78.3,55.8,62.5,53.1,75.2,53.9,74.6,58.2
156,"Stanton County, Nebraska",71.7,58.8,77.1,63.4,56.4,58.4,32.7,71.8,88.7,68.1,73.6
157,"Valley County, Idaho",71.7,72.3,55.2,57.3,53.6,81.3,70.7,86.4,50.7,52.2,68.2
158,"La Crosse County, Wisconsin",71.7,52.5,56.6,60.4,67.0,64.6,45.4,84.3,58.2,72.0,93.4
159,"Goochland County, Virginia",71.6,89.7,43.4,71.4,54.8,60.6,57.5,76.5,63.6,67.5,57.4
160,"Pope County, Minnesota",71.5,72.3,59.6,54.4,49.6,70.1,59.9,80.6,58.1,81.6,65.9
161,"Sheridan County, Wyoming",71.5,63.6,68.8,59.8,55.9,80.2,53.5,77.1,61.2,45.1,83.3
162,"Goodhue County, Minnesota",71.4,63.1,65.1,62.7,54.9,75.4,53.0,73.2,57.5,77.6,69.8
163,"Wake County, North Carolina",71.3,68.5,28.5,85.9,65.7,63.2,47.3,79.6,56.1,61.9,89.0
164,"Iowa County, Iowa",71.3,62.9,67.7,57.5,53.2,64.4,52.1,75.8,73.2,72.7,70.6
165,"Goshen County, Wyoming",71.3,57.8,64.8,44.8,63.3,75.9,67.7,69.2,67.8,78.3,69.6
166,"Hendricks County, Indiana",71.3,71.3,65.9,80.3,67.6,54.4,31.5,69.2,63.5,56.7,78.2
167,"Kauai County, Hawaii",71.3,48.2,71.4,61.0,44.0,73.1,83.1,90.2,32.8,71.6,74.5
168,"Cumberland County, Maine",71.2,63.0,51.9,69.8,66.7,66.0,51.7,80.0,56.6,69.8,69.4
169,"Putnam County, Illinois",71.2,63.1,74.5,57.6,42.3,66.0,71.4,66.9,76.8,76.5,56.0
170,"Benton County, Iowa",71.1,62.6,69.1,59.6,48.6,60.8,47.3,74.7,77.8,80.9,67.6
171,"York County, Virginia",71.0,58.2,49.9,65.3,80.4,62.6,43.0,84.3,51.8,65.0,84.0
172,"Jefferson County, Wisconsin",71.0,54.2,74.9,62.0,56.5,61.2,55.9,75.1,59.8,76.1,71.7
173,"Outagamie County, Wisconsin",71.0,55.5,54.3,71.3,53.3,70.4,39.3,81.2,64.8,77.1,81.9
174,"Bucks County, Pennsylvania",71.0,58.7,54.6,83.0,77.4,53.6,55.9,70.0,54.0,64.7,67.3
175,"Nemaha County, Kansas",70.9,59.1,67.5,56.2,46.1,59.0,66.5,86.5,84.3,58.0,57.6
176,"McLean County, North Dakota",70.9,75.9,66.5,58.8,37.5,66.4,40.9,71.1,96.9,73.3,59.0
177,"Ida County, Iowa",70.9,59.0,63.7,58.7,51.5,72.8,61.2,72.2,91.3,63.3,53.1
178,"Fayette County, Georgia",70.9,80.5,60.7,77.4,69.0,44.4,38.7,82.8,53.1,61.1,60.3
179,"Douglas County, Minnesota",70.8,69.6,58.4,60.1,62.4,72.2,43.9,82.5,54.4,67.8,72.4
180,"Carroll County, New Hampshire",70.8,76.3,68.3,55.4,61.4,69.9,69.7,69.3,49.2,65.4,59.2
181,"Cherokee County, Iowa",70.8,60.2,62.7,48.3,48.6,66.2,45.1,83.7,87.1,79.4,68.5
182,"Dane County, Wisconsin",70.8,57.6,24.6,79.4,62.8,75.5,48.3,86.7,53.5,69.7,90.7
183,"Utah County, Utah",70.7,39.5,44.0,78.9,57.4,79.2,47.3,83.9,50.2,72.6,99.8
184,"Tolland County, Connecticut",70.7,51.1,53.1,73.5,76.1,69.2,52.6,76.8,54.4,69.0,66.9
185,"Ravalli County, Montana",70.7,71.3,72.8,50.3,44.4,67.4,82.2,73.4,53.4,63.8,67.7
186,"Washington County, Oregon",70.6,45.9,40.0,82.5,57.7,59.4,63.8,85.4,46.5,76.3,89.2
187,"Botetourt County, Virginia",70.6,69.4,71.2,63.5,59.0,65.6,44.5,74.6,62.8,70.2,58.4
188,"Rock County, Minnesota",70.5,59.5,67.9,55.5,54.1,76.6,53.4,73.9,67.3,59.0,81.4
189,"Kewaunee County, Wisconsin",70.5,60.6,79.5,58.6,31.4,76.4,52.2,78.0,67.9,75.9,66.6
190,"Hampshire County, Massachusetts",70.5,50.6,54.3,62.6,70.1,63.5,48.8,88.8,55.1,71.1,78.3
191,"Clackamas County, Oregon",70.5,57.8,55.9,78.9,52.5,43.4,65.1,81.7,47.6,76.6,80.5
192,"Union County, Ohio",70.5,64.7,64.1,69.8,61.4,66.3,44.8,62.4,68.9,75.4,67.7
193,"Gilpin County, Colorado",70.3,79.6,100.0,67.1,45.8,95.5,64.9,74.3,12.8,63.6,24.9
194,"King George County, Virginia",70.3,62.3,78.0,78.9,48.8,64.0,48.0,63.4,72.5,80.6,39.8
195,"Sagadahoc County, Maine",70.3,64.0,80.7,59.4,50.7,65.5,54.2,71.6,56.5,75.2,64.3
196,"Polk County, Nebraska",70.2,59.6,58.5,54.5,48.1,54.1,67.4,80.3,86.1,68.2,66.7
197,"Sussex County, New Jersey",70.1,57.9,73.3,74.9,73.1,64.6,57.2,68.7,38.4,81.3,45.6
198,"St. Johns County, Florida",70.1,83.3,55.6,73.1,66.5,44.8,50.6,74.5,55.0,51.6,74.3
199,"Converse County, Wyoming",70.0,59.8,74.6,63.8,53.4,74.7,60.6,59.8,76.7,66.7,52.6
200,"Osceola County, Iowa",70.0,59.0,57.4,52.6,45.0,78.8,49.7,81.8,82.9,80.1,59.4
201,"Butler County, Nebraska",70.0,59.9,79.9,50.8,48.2,54.7,52.9,79.9,68.5,78.3,68.0
202,"Cass County, Nebraska",69.9,65.7,76.3,69.2,50.3,62.3,37.8,67.6,65.6,76.2,67.7
203,"Washington County, Nebraska",69.9,62.5,57.0,71.1,56.0,57.9,41.9,80.0,73.4,73.3,62.3
204,"Wabasha County, Minnesota",69.9,61.2,75.8,56.6,41.0,75.3,43.5,78.9,55.1,80.0,77.8
205,"York County, Nebraska",69.9,51.6,66.6,59.8,64.2,59.5,39.9,77.7,78.8,66.8,75.4
206,"Carson County, Texas",69.9,66.7,72.0,73.5,49.0,66.2,41.2,60.5,75.3,72.6,62.5
207,"Knox County, Maine",69.8,72.5,73.7,55.1,46.0,75.1,65.4,75.4,46.3,60.5,69.7
208,"McPherson County, Kansas",69.8,52.6,68.1,63.7,47.8,58.0,51.6,77.7,77.9,61.0,81.7
209,"Hancock County, Indiana",69.7,64.0,78.6,75.8,55.2,59.4,29.1,63.2,64.7,65.1,81.3
210,"Clayton County, Iowa",69.7,59.0,68.4,49.6,45.9,61.0,70.0,81.1,71.5,73.3,61.3
211,"Pennington County, Minnesota",69.6,51.7,70.7,49.3,45.7,78.7,58.9,73.9,84.3,62.4,70.7
212,"Valley County, Montana",69.6,69.2,66.2,43.9,60.9,70.4,66.2,73.4,84.6,38.3,64.1
213,"Deschutes County, Oregon",69.6,70.3,52.0,62.3,48.9,72.8,60.0,80.2,44.7,62.3,88.3
214,"Geauga County, Ohio",69.6,68.2,69.0,70.7,58.5,69.7,47.0,70.8,58.6,68.2,51.6
215,"Grafton County, New Hampshire",69.6,63.1,41.1,65.2,64.5,70.3,58.6,84.6,56.1,68.3,65.7
216,"Lamoille County, Vermont",69.6,59.8,70.2,55.0,66.8,64.3,66.7,75.2,48.6,76.2,55.1
217,"Belknap County, New Hampshire",69.5,63.5,72.4,58.3,51.3,69.5,75.3,65.7,52.2,71.2,61.9
218,"Woodford County, Illinois",69.5,62.5,66.7,64.8,47.3,66.4,35.2,75.8,73.3,75.2,71.3
219,"Franklin County, Iowa",69.5,55.1,66.6,49.9,51.1,76.7,54.2,68.9,77.5,75.1,73.7
220,"Sherburne County, Minnesota",69.4,67.7,63.6,79.0,55.8,69.8,42.2,75.2,53.1,71.6,51.3
221,"Pembina County, North Dakota",69.4,53.1,63.4,55.3,34.7,60.8,59.5,71.2,93.0,85.3,72.1
222,"Oakland County, Michigan",69.4,56.3,40.3,83.5,69.3,58.8,55.2,73.1,64.2,55.6,77.5
223,"Audubon County, Iowa",69.2,64.9,61.8,44.2,54.1,71.3,55.6,84.0,77.6,62.7,61.4
224,"Butler County, Iowa",69.2,60.3,66.3,51.9,52.0,61.1,32.1,74.9,89.2,80.9,72.7
225,"Box Elder County, Utah",69.2,47.2,74.3,56.3,39.0,82.5,52.7,75.6,66.7,67.4,84.1
226,"Brown County, Minnesota",69.1,62.8,62.0,53.7,55.0,76.1,38.2,78.2,65.7,74.2,74.8
227,"Chippewa County, Minnesota",69.1,53.5,67.6,52.0,49.8,76.4,58.2,73.1,74.3,61.1,76.7
228,"Calumet County, Wisconsin",69.1,64.6,54.4,70.8,54.6,67.4,39.9,71.4,66.1,75.2,73.1
229,"Humboldt County, Iowa",69.1,55.9,67.6,48.0,47.8,77.0,60.5,71.7,79.5,63.2,73.0
230,"Somervell County, Texas",69.0,66.0,81.4,54.4,70.2,61.9,58.3,56.3,61.6,70.4,55.7
231,"Missoula County, Montana",69.0,59.9,59.0,59.7,59.1,69.6,68.2,77.0,47.8,52.6,84.2
232,"Palo Alto County, Iowa",69.0,59.0,63.0,52.3,50.1,77.9,41.4,76.0,77.7,74.0,70.5
233,"Thayer County, Nebraska",68.9,65.1,62.6,44.6,54.3,55.7,68.5,81.7,76.0,58.5,67.8
234,"Morton County, North Dakota",68.9,67.2,49.0,71.9,45.8,69.1,42.5,66.6,82.2,61.9,82.8
235,"Midland County, Michigan",68.9,57.3,59.9,71.6,57.5,64.0,42.0,74.6,65.8,63.5,77.4
236,"Johnson County, Wyoming",68.9,74.9,61.6,48.6,40.9,81.1,61.5,71.3,72.5,71.4,56.5
